Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-docelium.json	2409	-	0	0	0	0	0	0	23	175	0	0	0	0	0	0	0	1	0	0	90	109	0	0	0	5	1	1
fsh-generated/resources/StructureDefinition-clinical-study.json	1937	19	0	167	0	0	1	0	0	198	0	0	1	0	0	0	0	1	0	0	553	4874	0	1	0	14	0	2
fsh-generated/resources/StructureDefinition-clinical-trial-patient.json	723	17	0	101	1	0	0	0	0	87	0	0	0	0	0	0	0	2	0	0	316	946	0	0	0	9	0	0
fsh-generated/resources/ValueSet-TherapeuticAreasValueSet.json	1727	16	0	0	0	0	0	0	1	203	0	0	0	0	0	0	0	0	0	0	35	756	0	0	0	0	0	0
\fsh-generated\includes\fsh-link-references.md	195	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
\fsh-generated\includes\menu.xml	1061	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
\input\pagecontent\index.md	135	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
\template\config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\template\config\_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
\temp\pages\_includes\artifacts.xml	2409	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	0	0	0	0	0	0
